Widzę	l|s|s|s|r_ieć
boom	s|s|s|s
internetowy	s|s|s|s|s|s|s|s|s|s|s
kiedyś	s|s|s|s|s|s
wróci	s|s|s|s|s|r_ć
.	s

Nie	l|s|s
dziwię	s|s|s|s|s|r_ć
się	s|s|s
.	s

Faceci	l|s|s|s|r_t|d
ze	s|d
Wschodu	l|s|s|s|r_ó|s|d
siedzą	s|s|s|s|s|r_ieć
spokojnie	s|s|s|s|s|s|s|s|s
w	s
poczekalni	s|s|s|s|s|s|s|s|s|s|r_a
,	s
gawędząc	s|s|s|s|s|s|r_i|r_ć
.	s

Z	l
przykrością	s|s|s|s|s|s|s|s|r_ć|d|d
stwierdzam	s|s|s|s|s|s|s|s|s|r_ć
,	s
że	s|s
zawiera	s|s|s|s|s|s|s|r_ć
on	s|s
nieprawdziwe	s|s|s|s|s|s|s|s|s|s|s|r_y
informacje	s|s|s|s|s|s|s|s|s|r_a
.	s

Biologom	l|s|s|s|s|s|d|d
z	s
Białowieży	s|s|s|s|s|s|s|s|s|r_a
udało	s|s|s|r_ć|d
się	s|s|s
go	r_o|r_n
uwolnić	s|s|s|s|s|s|s
,	s
nie	s|s|s
wiadomo	s|s|s|s|s|s|s
,	s
czy	s|s|s
zwierzę	s|s|s|s|s|s|s
przeżyje	s|s|s|s|s|s|r_ć|d
.	s

Wreszcie	l|s|s|s|s|s|s|s
Groszek	s|s|s|s|s|s|s
wstał	s|s|s|s|r_ć
.	s

Powiedzieli	l|s|s|s|s|s|s|s|s|r_ć|d
mi	r_j|r_a
,	s
że	s|s
ojciec	s|s|s|s|s|s
popełnił	s|s|s|s|s|s|s|r_ć
samobójstwo	s|s|s|s|s|s|s|s|s|s|s
.	s

Prószył	l|s|s|s|s|s|r_ć
śnieg	s|s|s|s|s
.	s

Czekali	l|s|s|s|s|r_ć|d
śmy	r_b|r_y|r_ć
wszyscy	s|s|s|s|s|r_te|r_k
na	s|s
odpowiedź	s|s|s|s|s|s|s|s|s
Bradleya	s|s|s|s|s|s|s|d
.	s

Ile	l|s|s
lat	r_r|r_o|r_k
miał	s|s|r_e|r_ć
wtedy	s|s|s|s|s
Robert	s|s|s|s|s|s
?	s

Nie	l|s|s
dociera	s|s|s|s|s|s|s|r_ć
do	s|s
niego	i_o|d|d|d|d
,	s
co	s|s
Chadaj	s|s|s|s|s|s
mówi	s|s|s|s|r_ć
.	s

Ta	r_te|r_n
jedna	s|s|s|i_e|d
chwilka	s|s|s|s|s|s|s
otwiera	s|s|s|s|s|s|s|r_ć
nieograniczone	s|s|s|s|s|s|s|s|s|s|s|s|s|r_y
perspektywy	s|s|s|s|s|s|s|s|s|s|r_a
!	s

Wydaje	l|s|s|s|r_wa|r_ć
mi	r_j|r_a
się	s|s|s
,	s
że	s|s
sytuacja	s|s|s|s|s|s|s|s
została	s|s|s|s|s|r_ć|d
opanowana	s|s|s|s|s|s|s|r_ć|d
.	s

-	s
Wsadzili	l|s|s|s|s|s|r_ć|d
mnie	r_j|r_a|d|d
na	s|s
takiego	s|s|s|s|d|d|d
trupa	s|s|s|s|d
,	s
bracie	s|s|s|r_t|d|d
.	s

Odsuwa	l|s|s|s|s|s|r_ć
miskę	s|s|s|s|r_a
po	s|s
chwili	s|s|s|s|s|r_a
.	s

-	s
Ciągle	l|s|s|s|s|s
nasłuchujesz	s|s|s|s|s|s|s|r_i|r_w|r_a|r_ć|d
?	s

-	s
Napił	l|s|s|s|r_ć
by	s|s
m	r_być
się	s|s|s
grzanego	s|s|s|s|r_ć|d|d|d
piwa	s|s|s|r_o
.	s

Proszę	l|s|s|s|r_i|r_ć
.	s
.	s
.	s

Widzisz	l|s|s|s|s|r_e|r_ć
?	s

Jak	l|s|s
uwierzyć	s|s|s|s|s|s|s|s
w	s
taką	s|s|s|r_i
wieść	s|s|s|s|s
?	s
!	s

Wnętrze	l|s|s|s|s|s|s
Ejakulatio	s|s|s|s|s|s|s|s|s|s
błyszczało	s|s|s|s|s|s|s|r_e|r_ć|d
.	s

–	s
Modlił	l|s|s|s|s|r_ć
się	s|s|s
.	s

Nie	l|s|s
ma	s|r_ieć
lewej	s|s|s|r_y|d
ręki	s|s|s|r_a
,	s
nosi	s|s|s|s|r_ć
protezę	s|s|s|s|s|s|r_a
w	s
czarnej	s|s|s|s|s|r_y|d
skórkowej	s|s|s|s|s|s|s|r_y|d
rękawiczce	s|s|s|s|s|s|s|s|r_k|r_a
.	s

-	s
Panie	l|s|s|d|d
McEnroe	s|s|s|s|s|s|s
,	s
nieodwołalnie	s|s|s|s|s|s|s|s|s|s|s|s|s
udaje	s|s|s|r_wa|r_ć
się	s|s|s
Pan	l|s|s
,	s
w	s
wieku	s|s|s|s|d
33	s|s
lat	r_r|r_o|r_k
,	s
na	s|s
tenisową	s|s|s|s|s|s|s|r_y
rentę	s|s|s|s|r_a
?	s

To	l|s
mój	s|s|s
pomysł	s|s|s|s|s|s
,	s
nie	s|s|s
zapominaj	s|s|s|s|s|s|s|s|r_ć
o	s
tym	s|r_o|d
.	s

-	s
Komar	l|s|s|s|s
to	s|s
żywa	s|s|s|r_y
istota	s|s|s|s|s|s
.	s

Słowem	l|s|s|s|r_o|d
,	s
byli	s|s|r_ć|d
śmy	r_b|r_y|r_ć
w	s
dołku	s|s|s|i_e|d
.	s

Oznacza	l|s|s|s|s|s|s|r_ć
to	s|s
,	s
że	s|s
zgadzają	s|s|s|s|s|s|r_ć|d
się	s|s|s
one	s|s|d
na	s|s
taką	s|s|s|r_i
praktykę	s|s|s|s|s|s|s|r_a
.	s

Przy	l|s|s|s
wynoszeniu	s|s|s|s|s|d|d|d|s|r_ć
rannego	s|s|s|s|r_y|d|d
w	s
pojedynkę	s|s|s|s|s|s|s|s|r_a
ujmujemy	s|s|s|r_o|r_w|r_a|r_ć|d
go	r_o|r_n
oburącz	s|s|s|s|s|s|s
pod	s|s|s
ramiona	s|s|s|s|r_ę|d|d
.	s

Sala	l|s|s|s
błyskawicznie	s|s|s|s|s|s|s|s|s|s|s|s|s
ucichła	s|s|s|s|s|r_ną|r_ć
.	s

Szukając	l|s|s|s|s|r_ć|d|d
zysku	s|s|s|s|d
,	s
musiały	s|s|s|s|r_e|r_ć|d
ryzykować	s|s|s|s|s|s|s|s|s
.	s

-	s
I	l
kiedy	s|s|s|s|s
pan	s|s|s
się	s|s|s
pojawił	s|s|s|s|s|s|r_ć
w	s
pracy	s|s|s|s|r_a
?	s

-	s
Uratowała	l|s|s|s|s|s|s|r_ć|d
ś	r_być
je	r_o|r_n
?	s

-	s
No	l|s
,	s
nie	s|s|s
jesteś	r_b|r_y|r_ć|d|d|d
wszechwiedzący	s|s|s|s|s|s|s|s|s|s|s|s|s|s
?	s

–	s
i	s
jesteście	r_b|r_y|r_ć|d|d|d|d|d|d
zadowoleni	s|s|s|s|s|s|s|r_o|s|r_y
?	s

Komoljan	s|s|s|s|s|s|s|s
wczoraj	s|s|s|s|s|s|s
wyjechał	s|s|s|s|s|s|s|r_ć
.	s

mówiła	s|s|s|s|r_ć|d
m	r_być
ci	r_t|r_y
o	s
tym	s|r_o|d
?	s

Gdy	l|s|s
skończy	s|s|s|s|s|s|s|r_ć
,	s
nieodwołalnie	s|s|s|s|s|s|s|s|s|s|s|s|s
już	s|s|s
pójdzie	s|s|s|r_ś|r_ć|d|d
do	s|s
baru	s|s|s|d
.	s

Czy	l|s|s
jest	r_b|r_y|r_ć|d
taka	s|s|s|r_i
jak	s|s|s
jej	r_o|r_n|d
głos	s|s|s|s
?	s

Był	l|s|r_ć
z	s
żoną	s|s|s|r_a
,	s
Wandą	s|s|s|s|r_a
.	s

Błyskotliwy	l|s|s|s|s|s|s|s|s|s|s
wykładowca	s|s|s|s|s|s|s|s|s|s
-	s
matematyk	s|s|s|s|s|s|s|s|s
o	s
mrocznej	s|s|s|s|s|s|r_y|d
urodzie	s|s|s|s|r_a|d|d
zafascynował	s|s|s|s|s|s|s|s|s|s|s|r_ć
młodą	s|s|s|s|r_y
studentkę	s|s|s|s|s|s|s|s|r_a
.	s

Powiedzieć	l|s|s|s|s|s|s|s|s|s
im	r_o|r_n
?	s
!	s

Jeszcze	l|s|s|s|s|s|s
przez	s|s|s|s|s
pewien	s|s|s|s|s|s
czas	s|s|s|s
w	s
nie	i_o|d|d
wierzył	s|s|s|s|s|s|r_ć
.	s

Wytoczyła	l|s|s|s|s|s|s|r_ć|d
też	s|s|s
proces	s|s|s|s|s|s
redakcji	s|s|s|s|s|s|s|r_a
pisma	s|s|s|s|r_o
.	s

-	s
Nie	l|s|s
śpię	r_s|s|r_a|r_ć
.	s

423	s|s|s
razy	s|s|s|d
spotkały	s|s|s|s|s|s|r_ć|d
się	s|s|s
cztery	s|s|s|s|s|s
rządowe	s|s|s|s|s|s|r_y
komitety	s|s|s|s|s|s|s|d
.	s

Ruszyli	l|s|s|s|s|r_ć|d
dalej	s|s|s|s|r_ko
.	s

–	s
chętnie	s|s|s|s|s|s|s
posłucham	s|s|s|s|s|s|s|s|r_ć
jeszcze	s|s|s|s|s|s|s
raz	s|s|s
.	s
.	s

Witała	l|s|s|s|r_ć|d
m	r_być
siostrzeńca	s|s|s|s|s|s|s|s|r_nie|s|d
i	s
przepraszała	s|s|s|s|s|s|s|s|s|s|r_ć|d
m	r_być
go	r_o|r_n
za	s|s
kłamstwo	s|s|s|s|s|s|s|s
moich	s|r_ó|r_j|d|d
przełożonych	s|s|s|s|s|s|s|s|s|s|d|d
.	s

Inflacja	l|s|s|s|s|s|s|s
rośnie	s|s|r_s|s|r_ą|r_ć
.	s

Potem	l|s|s|s|s
mu	r_o|r_n
nie	s|s|s
dopłacili	s|s|s|s|s|s|s|r_ć|d
.	s

Musiał	l|s|s|s|r_e|r_ć
by	s|s
być	s|s|s
politycznie	s|s|s|s|s|s|s|s|s|s|s
wyrazisty	s|s|s|s|s|s|s|s|s
.	s

Romek	s|s|s|s|s
stanął	s|s|s|s|s|r_ć
przed	s|s|s|s|s
nim	i_o|d|d
w	s
postawie	s|s|s|s|s|s|r_a|d
na	s|s
baczność	s|s|s|s|s|s|s|s
.	s

Zassał	l|s|s|s|s|r_ć
em	r_by|r_ć
powietrze	s|s|s|s|s|s|s|s|s
.	s

Heniek	s|s|s|s|s|s
postawił	s|s|s|s|s|s|s|r_ć
na	s|s
stole	s|s|r_ó|r_ł|d
telewizor	s|s|s|s|s|s|s|s|s
.	s

Miał	l|s|r_e|r_ć
78	s|s
lat	r_r|r_o|r_k
.	s

-	s
Sama	l|s|s|d
nie	s|s|s
wiem	s|s|s|r_dzieć
.	s
.	s
.	s

Dziękuję	l|s|s|s|s|r_ow|r_a|r_ć
za	s|s
uwagę	s|s|s|s|r_a
.	s

Śpiewali	l|s|s|s|s|s|r_ć|d
całą	s|s|s|r_y
gromadą	s|s|s|s|s|s|r_a
.	s

Postanowił	l|s|s|s|s|s|s|s|s|r_ć
go	r_o|r_n
szybko	s|s|s|s|s|s
zlokalizować	s|s|s|s|s|s|s|s|s|s|s|s
.	s

Sąd	l|s|s
idzie	s|r_ś|r_ć|d|d
!	s

Kapitan	l|s|s|s|s|s|s
wzrusza	s|s|s|s|s|s|s|r_ć
ramionami	s|s|s|s|r_ę|d|d|d|d
.	s

Ona	l|s|d
tylko	s|s|s|s|s
śpi	r_s|s|r_ać
.	s

-	s
Z	l
wiekiem	s|s|s|s|d|d|d
człowiek	s|s|s|s|s|s|s|s
zwalnia	s|s|s|s|s|s|s|r_ć
i	s
rozgląda	s|s|s|s|s|s|s|s|r_ć
się	s|s|s
wokół	s|s|s|s|s
.	s

Ponownie	l|s|s|s|s|s|s|s
poruszaj	s|s|s|s|s|s|s|r_ć
szybko	s|s|s|s|s|s
palcami	s|s|s|i_e|d|d|d
stóp	s|s|r_o|s|r_a
i	s
dłoni	s|s|s|r_ń|d
.	s

Szumią	l|s|s|s|s|r_eć
przy	s|s|s|s
tym	s|r_o|d
troszkę	s|s|s|s|s|s|s
.	s

Już	l|s|s
stężał	s|s|s|s|r_e|r_ć
.	s

-	s
To	l|s
już	s|s|s
powiedziała	s|s|s|s|s|s|s|s|r_e|r_ć|d
ś	r_być
.	s

-	s
Ale	l|s|s
już	s|s|s
niedługo	s|s|s|s|s|s|s|s
zniknie	s|s|s|s|s|r_ą|r_ć
.	s

Teraz	l|s|s|s|s
Bóg	l|s|s
jeden	s|s|s|s|s
raczy	s|s|s|s|s|r_ć
wiedzieć	s|s|s|s|s|s|s|s
.	s

Jechała	l|s|s|s|s|r_ć|d
m	r_być
raz	s|s|s
z	s
moim	s|r_ó|r_j|d
marynarzem	s|s|s|s|s|s|s|s|d|d
.	s

Osadza	l|s|s|s|s|s|r_ć
się	s|s|s
na	s|s
odzieży	s|s|s|s|s|s|d
oraz	s|s|s|s
trwałych	s|s|s|s|s|s|d|d
nieprzepuszczalnych	s|s|s|s|s|s|s|s|s|s|s|s|s|s|s|s|s|d|d
powierzchniach	s|s|s|s|s|s|s|s|s|s|s|s|d|d
takich	s|s|s|s|d|d
jak	s|s|s
beton	s|s|s|s|s
czy	s|s|s
asfalt	s|s|s|s|s|s
.	s

Publiczność	l|s|s|s|s|s|s|s|s|s|s
przyjęła	s|s|s|s|s|r_ą|r_ć|d
ją	r_o|r_n
entuzjastycznie	s|s|s|s|s|s|s|s|s|s|s|s|s|s|s
,	s
ale	s|s|s
krytycy	s|s|s|s|s|r_k|d
nazwali	s|s|s|s|s|r_ć|d
królową	s|s|s|s|s|s|r_a
kiczu	s|s|s|s|d
.	s

Jakich	l|s|s|s|d|d
lęków	s|s|s|d|d
doświadczasz	s|s|s|s|s|s|s|s|s|s|r_ć|d
najczęściej	d|d|d|s|s|s|r_s|r_t|r_o|d|d
?	s

Stawiasz	l|s|s|s|s|s|r_ć|d
to	s|s
na	s|s
gazie	s|s|s|d|d
.	s

Nigdy	l|s|s|s|s
jednak	s|s|s|s|s|s
nie	s|s|s
sprecyzował	s|s|s|s|s|s|s|s|s|s|r_ć
,	s
jakie	s|s|s|s|d
zmiany	s|s|s|s|s|r_a
planuje	s|s|s|s|r_ow|r_a|r_ć
w	s
Rosji	s|s|s|s|r_a
.	s

Biernacki	s|s|s|s|s|s|s|s|s
może	s|r_ó|r_c|d
liczyć	s|s|s|s|s|s
na	s|s
poparcie	s|s|s|s|s|s|s|s
polityków	s|s|s|s|s|s|s|d|d
koalicji	s|s|s|s|s|s|s|r_a
.	s

Przed	l|s|s|s|s
weselem	s|s|s|s|s|s|d
jak	s|s|s
zwykle	s|s|s|s|s|s
szły	r_i|r_ś|r_ć|d
zapowiedzi	s|s|s|s|s|s|s|s|r_ź|d
.	s

Strajk	l|s|s|s|s|s
zawieszono	s|s|s|s|s|s|r_i|r_ć|d|d
.	s

Czy	l|s|s
ta	s|r_en
nominacja	s|s|s|s|s|s|s|s|s
odbije	s|s|s|s|r_ć|d
się	s|s|s
jakoś	s|s|s|s|s
na	s|s
sytuacji	s|s|s|s|s|s|s|r_a
w	s
PO	s|s
?	s

Starcie	l|s|s|s|s|s|s
między	s|s|s|s|s|s
Generałem	l|s|s|s|s|s|s|d|d
a	s
MRP	s|s|s
przybrało	s|s|s|s|s|s|s|r_ć|d
nawet	s|s|s|s|s
formy	s|s|s|s|r_a
drastyczne	s|s|s|s|s|s|s|s|s|r_y
.	s

–	s
Dlaczego	l|s|s|s|s|s|s|s
zaczął	s|s|s|s|s|r_ć
eś	r_by|r_ć
opowiadanie	s|s|s|s|s|s|s|s|r_ć|d|d
od	s|s
tej	s|s|r_n
najstarszej	d|d|d|s|s|s|s|r_y|d|d|d
?	s

-	s
Ściągnięto	l|s|s|s|s|s|r_ą|r_ć|d|d
mnie	r_j|r_a|d|d
z	s
urlopu	s|s|s|s|s|d
.	s

I	l
dlatego	s|s|s|s|s|s|s
ich	r_o|r_n|d
potępiamy	s|s|s|s|s|s|s|r_ć|d
.	s

Widzę	l|s|s|s|r_ieć
stąd	s|s|s|s
,	s
z	s
tego	s|s|r_n|d
nowego	s|s|s|r_y|d|d
miejsca	s|s|s|s|s|s|r_e
,	s
nogi	s|s|s|r_a
siwka	s|s|s|i_e|d
.	s

Woda	l|s|s|s
dostała	s|s|s|s|s|r_ć|d
się	s|s|s
do	s|s
tonącego	s|s|s|s|r_ć|d|d|d
samochodu	s|s|s|s|s|s|r_ó|s|d
.	s

Z	l
naszych	s|s|s|s|d|d|d
informacji	s|s|s|s|s|s|s|s|s|r_a
wynika	s|s|s|s|s|s|r_ć
,	s
że	s|s
szpital	s|s|s|s|s|s|s
proszowicki	s|s|s|s|s|s|s|s|s|s|s
nie	s|s|s
znajdzie	s|s|s|r_l|r_e|r_ź|r_ć|d
się	s|s|s
w	s
tej	s|s|r_n
sieci	s|s|s|r_ć|d
.	s

I	l
w	s
dodatku	s|s|s|s|s|i_e|d
szkodzi	s|s|s|s|s|s|s|r_ć
Polsce	s|s|s|s|r_k|r_a
.	s

Czy	l|s|s
to	s|s
prawda	s|s|s|s|s|s
?	s

Blok	l|s|s|s
ten	s|s|s
jest	r_b|r_y|r_ć|d
na	s|s
ukończeniu	s|s|s|s|s|s|r_y|r_ć|d|d
.	s

Stary	l|s|s|s|s
zegar	s|s|s|s|s
stojący	s|s|r_a|r_ć|d|d|d
na	s|s
komodzie	s|s|s|s|s|r_a|d|d
tyka	s|s|s|s|r_ć
natrętnie	s|s|s|s|s|s|s|s|s
.	s

Czy	l|s|s
sobie	s|r_ie|s|s|s
coś	s|s|s
takiego	s|s|s|s|d|d|d
uświadamiasz	s|s|s|s|s|s|s|s|s|s|r_ć|d
?	s

-	s
Nie	l|s|s
wiedziała	s|s|s|s|s|s|r_e|r_ć|d
m	r_być
,	s
że	s|s
jest	r_b|r_y|r_ć|d
pan	s|s|s
awanturnik	s|s|s|s|s|s|s|s|s|s
.	s

Przyjechali	l|s|s|s|s|s|s|s|s|r_ć|d
popołudniowym	s|s|s|s|s|s|s|s|s|s|s|s|d
pociągiem	s|s|s|s|s|s|d|d|d
.	s

Spała	s|s|s|s|s
,	s
Wałcz	s|s|s|s|s
czy	s|s|s
Cetniewo	s|s|s|s|s|s|s|s
są	r_by|r_ć
od	s|s
dawna	s|s|s|s|r_y
ośrodkami	s|s|s|s|s|i_e|d|d|d
na	s|s
najwyższym	d|d|d|s|s|d|s|r_o|r_k|r_i
europejskim	s|s|s|s|s|s|s|s|s|s|d
poziomie	s|s|s|s|s|s|d|d
.	s

W	l
drzwiach	s|s|s|s|s|d|d|d
pojawił	s|s|s|s|s|s|r_ć
się	s|s|s
sympatyczny	s|s|s|s|s|s|s|s|s|s|s
mężczyzna	s|s|s|s|s|s|s|s|s
,	s
górnik	s|s|s|s|s|s
z	s
Borynii	s|s|s|s|s|s|r_a
.	s

Coś	l|s|s
ściska	s|s|s|s|s|s|r_ć
za	s|s
gardło	s|s|s|s|s|s
.	s

Cmentarz	l|s|s|s|s|s|s|s
przecina	s|s|s|s|s|s|s|s|r_ć
już	s|s|s
kilka	s|s|s|s|s
alejek	s|s|s|s|r_k|r_a
z	s
kostki	s|s|s|s|s|r_a
betonowej	s|s|s|s|s|s|s|r_y|d
.	s

Były	l|s|s|s
dyrektor	s|s|s|s|s|s|s|s
żąda	s|s|s|s|r_ć
przywrócenia	s|s|s|s|s|s|s|s|d|d|s|r_ć
do	s|s
pracy	s|s|s|s|r_a
.	s

Uczyniło	l|s|s|s|s|s|r_ć|d
się	s|s|s
raptem	s|s|s|s|s|s
cicho	s|s|s|s|s
.	s

Po	l|s
obu	s|s|r_a
jej	r_o|r_n|d
stronach	s|s|s|s|s|s|d|d
widać	s|s|s|s|s
było	s|s|r_ć|d
bunkry	s|s|s|s|i_ie|d
.	s

Ziewając	l|s|s|s|s|r_ć|d|d
zasypiali	s|s|s|s|s|s|s|r_ć|d
;	s
cicho	s|s|s|s|s
,	s
nie	s|s|s
skrzypnąwszy	s|s|s|s|s|s|s|s|r_ć|d|d|d
nawet	s|s|s|s|s
,	s
otworzyły	s|s|s|s|s|s|s|r_ć|d
się	s|s|s
drzwi	s|s|s|s|s
.	s

W	l
pewnej	s|s|s|r_i|s|r_n
chwili	s|s|s|s|s|r_a
słyszy	s|s|s|s|s|r_eć
za	s|s
sobą	s|r_ie|s|r_ie
szybki	s|s|s|s|s|s
jazgot	s|s|s|s|s|s
peema	s|s|s|s|d
.	s

Ma	r_mie|r_ć
dopiero	s|s|s|s|s|s|s
trzy	s|s|s|s
dni	s|r_z|s|r_eń
.	s

Prof.	l|s|s|s|r_esor
Mmaa	s|s|s|s
milczał	s|s|s|s|s|r_e|r_ć
chwilę	s|s|s|s|s|r_a
.	s

-	s
Mój	l|s|s
mężu	s|r_ą|s|d
,	s
czy	s|s|s
naprawdę	s|s|s|s|s|s|s|s
będziemy	s|r_y|r_ć|d|d|d|d|d
mieszkać	s|s|s|s|s|s|s|s
u	s
górali	s|s|s|s|s|d
?	s

W	l
ostatnich	s|s|s|s|s|s|s|d|d
latach	r_r|r_o|r_k|d|d|d
w	s
Polsce	s|s|s|s|r_k|r_a
nie	s|s|s
powstał	s|s|s|s|s|s|r_ć
żaden	s|s|s|s|s
klub	s|s|s|s
hokejowy	s|s|s|s|s|s|s|s
.	s

Zdjęła	l|s|s|r_ą|r_ć|d
kapelusz	s|s|s|s|s|s|s|s
,	s
odetchnęła	s|s|s|s|s|s|s|r_ą|r_ć|d
z	s
ulgą	s|s|s|r_a
.	s

Biorę	l|r_r|r_a|r_ć|d
torbę	s|s|s|s|r_a
i	s
wychodzę	s|s|s|s|s|s|s|r_ić
.	s

Polscy	l|s|s|s|r_k|r_i
tenisiści	s|s|s|s|s|s|r_s|r_t|r_a
Gąsiorek	s|s|s|s|s|s|s|s
i	s
Orlikowski	s|s|s|s|s|s|s|s|s|s
startowali	s|s|s|s|s|s|s|s|r_ć|d
bez	s|s|s
powodzenia	s|s|s|s|s|s|s|s|s|r_e
w	s
turnieju	s|s|s|s|s|s|s|d
aleksandryjskim	s|s|s|s|s|s|s|s|s|s|s|s|s|s|d
.	s

Widać	l|s|s|s|s
,	s
że	s|s
gabinet	s|s|s|s|s|s|s
Millera	s|s|s|s|s|s|d
stopniowo	s|s|s|s|s|s|s|s|s
traci	s|s|s|s|s|r_ć
kontakt	s|s|s|s|s|s|s
z	s
rzeczywistością	s|s|s|s|s|s|s|s|s|s|s|s|r_ć|d|d
.	s

Sądził	l|s|s|s|s|r_ć
em	r_by|r_ć
,	s
że	s|s
szarość	s|s|s|s|s|s|s
nie	s|s|s
powinna	s|s|s|s|s|i_ie|d
być	s|s|s
niema	s|s|s|s|r_y
.	s

Nagle	l|s|s|s|s
drzwi	s|s|s|s|s
kabiny	s|s|s|s|s|r_a
pilota	s|s|s|s|s|d
otworzyły	s|s|s|s|s|s|s|r_ć|d
się	s|s|s
.	s

Wynajmujemy	l|s|s|s|s|s|r_o|r_w|r_a|r_ć|d
pokój	s|s|s|s|s
prywatny	s|s|s|s|s|s|s|s
w	s
biurze	s|s|s|s|r_o|d
obsługi	s|s|s|s|s|s|r_a
turystów	s|s|s|s|s|s|r_a|d
.	s

W	l
ciszy	s|s|s|s|r_a
zapadającego	s|s|s|s|s|s|r_ć|d|d|d|d|d
wieczoru	s|s|s|s|s|r_ó|s|d
głos	s|s|s|s
się	s|s|s
roznosił	s|s|s|s|s|s|s|r_ć
i	s
każde	s|s|s|s|r_y
słowo	s|s|s|s|s
słychać	s|s|s|s|s|s|s
było	s|s|r_ć|d
z	s
daleka	s|s|s|s|s|r_i
.	s

Chodź	l|s|s|s|r_zić
,	s
Hari	s|s|s|s
,	s
podrzucę	s|s|s|s|s|s|s|r_ić
cię	r_t|r_y|d
do	s|s
domu	s|s|s|d
.	s

Ty	l|s
się	s|s|s
wstydzisz	s|s|s|s|s|s|s|r_ć|d
?	s
!	s

Stłuces	l|s|s|s|s|d|d
głobe	s|s|s|r_w|r_a
!	s

Otworzył	l|s|s|s|s|s|s|r_ć
usta	s|s|s|s
i	s
siedział	s|s|s|s|s|s|r_e|r_ć
w	s
najwyższym	d|d|d|s|s|d|s|r_o|r_k|r_i
osłupieniu	s|s|s|s|s|s|s|s|s|r_e
.	s

Ten	l|s|s
fizyczny	s|s|s|s|s|s|s|s
ból	s|s|s
sprawiał	s|s|s|s|s|s|s|r_ć
mu	r_o|r_n
nawet	s|s|s|s|s
przyjemność	s|s|s|s|s|s|s|s|s|s|s
.	s

Nie	l|s|s
umiem	s|s|s|s|r_ć
jeździć	s|s|s|s|s|s|s
,	s
nart	s|s|s|s|r_a
nie	s|s|s
mam	s|r_ie|r_ć
.	s

Sprawę	l|s|s|s|s|r_a
znam	s|s|s|r_ć
z	s
relacji	s|s|s|s|s|s|r_a
mojej	s|r_ó|s|d|d
Irenki	s|s|s|s|s|r_a
.	s

Od	l|s
1998	s|s|s|s
roku	s|s|s|d
funkcjonuje	s|s|s|s|s|s|s|s|r_ow|r_a|r_ć
w	s
FSB	s|s|s
wydział	s|s|s|s|s|s|s
bezpieczeństwa	s|s|s|s|s|s|s|s|s|s|s|s|s|r_o
komputerowego	s|s|s|s|s|s|s|s|s|s|r_y|d|d
i	s
informacyjnego	s|s|s|s|s|s|s|s|s|s|s|r_y|d|d
.	s

-	s
Tylko	l|s|s|s|s
na	s|s
noc	s|s|s
wynoszą	s|s|s|s|s|r_i|r_ć
cię	r_t|r_y|d
z	s
łóżkiem	s|s|s|s|r_o|d|d
z	s
pokoju	s|s|s|r_ó|s|d
.	s

Sebastian	s|s|s|s|s|s|s|s|s
za	s|s
tydzień	s|s|s|s|s|s|s
obchodził	s|s|s|s|s|s|s|s|r_ć
by	s|s
urodziny	s|s|s|s|s|s|s|s
.	s

Minibus	l|s|s|s|s|s|s
odjeżdża	s|s|s|s|s|s|s|s|r_ć
.	s

A	l
PKS	s|s|s
również	s|s|s|s|s|s|s
ma	s|r_ieć
swoje	s|s|r_ó|s|d
przepisy	s|s|s|s|s|s|s|d
,	s
kierowca	s|s|s|s|s|s|s|s
musi	s|s|s|s|r_eć
po	s|s
pewnej	s|s|s|r_i|s|r_n
ilości	s|s|s|s|r_ć|d
godzin	s|s|s|s|s|s|r_a
odpocząć	s|s|s|s|s|s|s|s
.	s

-	s
Zamilkły	l|s|s|s|s|s|r_ną|r_ć
obie	s|s|r_a|d
na	s|s
chwilę	s|s|s|s|s|r_a
.	s

W	l
pracy	s|s|s|s|r_a
pytano	s|s|s|s|r_ć|d
mnie	r_j|r_a|d|d
,	s
dlaczego	s|s|s|s|s|s|s|s
tak	s|s|s
źle	s|s|s
wyglądam	s|s|s|s|s|s|s|r_ć
.	s

Tylko	l|s|s|s|s
w	s
przysłowiu	s|s|s|s|s|s|s|s|s|r_e
kot	s|s|s
zawsze	s|s|s|s|s|s
spada	s|s|s|s|s|r_ć
na	s|s
cztery	s|s|s|s|s|s
łapy	s|s|s|r_a
.	s

El	s|s
szła	r_i|r_ś|r_ć|d
za	s|s
nim	i_o|d|d
.	s

Wiem	l|s|s|r_dzieć
,	s
że	s|s
tu	s|s
przyjdziecie	s|s|s|s|s|r_ś|r_ć|d|d|d|d|d
.	s

Po	l|s
co	s|s
przychodzą	s|s|s|s|s|s|s|s|s|r_ić
?	s

Cała	l|s|s|r_y
Warszawa	s|s|s|s|s|s|s|s
śmiała	s|s|s|s|r_ć|d
się	s|s|s
z	s
tych	s|r_e|r_n|d
złośliwych	s|s|s|s|s|s|s|s|d|d
podarunków	s|s|s|s|s|s|s|i_e|d|d
.	s

Dziewczyna	l|s|s|s|s|s|s|s|s|s
